IDENT,Inspection,Maintenance,TimeCost
100678,"ROCKER COVERS 1, 2 & 3 LEAKING ON R/H ENGINE.",REMOVED & REPLACED ROCKER COVER GASKETS.,9.333720590776487
100679,R/H ENG #3 & 2 INTAKES LEAK.,REMOVED & REPLACED GASKETS.,0.028679583174605616
100680,#3 INTAKE IS LEAKING ON L/H ENGINE.,REMOVED & REPLACED GASKET.,5.034210741138372
100681,#4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,6.545669599768665
100682,ROCKER BOX COVER SCREWS LOOSE.,TIGHTENED SCREWS.,6.696195038194247
100683,#2 ROCKER BOX COVER GASKET LEAKS.,REMOVED & REPLACED #2 COVER GASKET.,0.08709567934157003
100684,#1 & 3 CYLINDER LOWER BAFFLE IS CRACKED.,"REMOVED #1 CYL INTAKE TUBE, REMOVED & REPLACED BAFFLE.",1.2504499185171658
100685,#1 INTAKE TUBE WAS CANNED,"INSTALLED NEW INTAKE TUBE, O-RING & GASKET.",3.3736136232951597
100686,L/H #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET W/ NEW.,7.649416652280195
100687,R/H ENG #2 & 3 INTAKES LEAKING.,REMOVED & REPLACED INTAKE GASKETS W/ NEW.,6.225796709638481
100688,R/H ENG #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,1.410240735106163
100689,R/H ENG #2 CYL ROCKER COVER GASKET IS SPLIT.,REPLACED GASKET.,6.159699485732336
100690,R/H ENG #4 INDUCATION TUBE GASKET LEAKING.,REPLACED #4 R/H INTAKE TUBE GASKET.,7.7222055983995315
100691,#4 CYLINDER INTAKE TUBE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,5.268174162264949
100692,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,4.054092676095814
100693,#1 INTAKE LEAKING.,REPLACED GASKET.,4.610894291961928
100694,#2 EXHAUST DRY LIFTER CLEARANCE IS TOO TIGHT.,"REMOVED, INSPECTED & DETERMINED TO BE SERVICEABLE PUSH",9.803912624112863
100695,#2 EXHAUST LIFTER PLUNGER ASSY CAME APART WHEN CLEANED.,REMOVED PLUNGER ASSY FROM CORE ENGINE,8.062202653595769
100696,ENG RUNS ROUGH ON START. MX HAND SPUN PROP & REPORTED 1 CYL,PERFORMED COMPRESSION CHECK & FOUND #3 EXHAUST VALVE ST,3.9117635097927437
100697,ENG RUNS ROUGH ON START. MX HAND SPUN PROP & REPORTED 1 CYL,REMOVED & REPLACED #3 CYLINDER IAW LYCOMING O/H MANUAL.,2.6517188173705755
100698,R/H ENG #3 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW #3 INDUCTION TUBE GASKET.,4.671840831436792
100699,BAFFLE SEAL LOOSE ON LEFT SIDE OF ENGINE.,SECURED BAFFLE SEAL.,7.209692716744992
100700,LEFT DOOR WOULD NOT LATCH.,"ADJUSTED STRIKER PLATE, DOOR. OPS CHECK GOOD.",5.9276567204988595
100701,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,7.024925428096775
100702,"INTAKES 2, 3 & 4 LEAKING ON L/H ENGINE.",REPLACED INTAKE GASKETS.,7.5757387266227845
100703,BAFFLE SEALS NEED TO BE RESECURED ON BOTH ENGINES.,RESECURED BAFFLE SEALS.,5.24754032706623
100704,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",REMOVED & REPLACED INTAKE GASKETS. CLEANED AREA OF LEAK,0.31572001799459515
100705,#2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,6.145363668400807
100706,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,7.268629611617742
100707,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,3.9991112356290603
100708,R/H SIDE COWL SEAL IS LOOSE.,SECURED SEAL.,5.939811532968095
100709,HARDWARE MISSING ON R/H AFT BAFFLE.,INSTALLED NEW HARDWARE IN AFT R/H BAFFLE.,4.756672887570113
100710,HARDWARE MISSING ON R/H AFT BAFFLE.,INSTALLED NEW HARDWARE ON BAFFLE.,6.693875487908646
100711,ENGINE BAFFLE PLUGS BAD.,INSTALLED NEW BAFFLE PLUGS.,4.107280806236011
100712,#2 ROCKER BOX COVER GASKET LEAKING.,INSTALLED NEW #2 ROCKER BOX COVER GASKET.,6.394419791609289
100713,"CYL #1 & 3 INTAKES ARE LEAKING, L/H ENG.",REPLACED INTAKE GASKETS.,7.099721814265405
100714,R/H ENG CYL #2 INTAKE IS LEAKING.,REPLACED R/H CYL #2 INTAKE GASKET.,4.226958655085506
100715,"CYL #2 INTAKE IS LEAKING, L/H ENG.",REPLACED CYL #2 L/H INTAKE TUBE GASKET.,2.7210198438633038
100716,R/H ENG CORNER BRACKET BY PROP CABLE IS CRACKED.,REMOVED & REPLACED BRACKET.,9.656284157975017
100717,"R/H ENG CYL #2, 3 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,7.215924620865241
100718,"RAN ENGINE START CKLIST 3 TIMES, TRIED COLD START CKLIST 2 T","STARTED ENGINE USING NORMAL PROCEDURES, OPS CHECK GOOD.",8.066899942232146
100719,CYL #4 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,6.818506526035165
100720,CYL #1/3 BAFFLE SPRING BROKEN.,REPLACED #1/3 BAFFLE SPRING.,9.889556899879413
100721,REAR R/H BAFFLE BRACKET RIVETS SHEARED.,"REMOVED BAFFLE, REPLACED RIVETS, REINSTALLED BAFFLE.",5.772601609241832
100722,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,3.093355126060291
100723,BACK R/H BAFFLE BACK BRACKET RIVET HEAD IS SHEARED OFF.,"REMOVED R/H BACK BAFFLE, INSTALLED BRACKET W/ SCREWS. I",9.293181934846126
100724,"SCREW MISSING, AFT BAFFLE BRACKET.",INSTALLED SCREW.,1.5907343168546995
100725,SCREW MISSING ON BAFFLE ABOVE #3 CYL.,INSTALLED SCREW.,6.214544500776874
100726,BAFFLE CRACKED ABOVE #1 CYL.,"REMOVED BAFFLE, STOP DRILLED CRACK. FABRICATED PATCH, P",7.115103638711977
100727,REAR BAFFLE PLUGS WORN OUT.,REPLACED BOTH PLUGS W/ NEW.,1.7354390577026724
100728,STAND OFF NEEDED FOR FUEL LINE ON TOP OF ENG.,CLAMPED STAND OFF @ PUSH ROD TUBE.,1.646890990420371
100729,R/H BAFFLE MISSING RIVET ON AFT SUPPORT BRACKET.,"REMOVED BAFFLE, REPAIRED BRACKET & STRIPPED OIL COOLER",6.416786729267341
100730,R/H ENG #4 INTAKE GASKET LEAKING.,REPLACED R/H #4 INTAKE GASKET.,4.576443950322579
100731,R/H ENG #3 INDUCTION TUBE GASKET LEAKING.,REPLACED R/H #3 INTAKE GASKET.,4.3154111849232955
100732,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,"REPLACED INTAKE TUBE GASKET, L/H #3.",0.3639572967830895
100733,"R/H ENG, L/H FWD BAFFLE & L/H AFT BAFFLE MISSING SCREWS.","REPLACED R/H ENG, L/H FWD & L/H AFT BAFFLE SCREWS.",1.3556332114039693
100734,CYL #1 INTAKE LEAKS.,REMOVED & REPLACED CYL #1 INTAKE GASKET.,5.975884440451632
100735,"L/H BAFFLE, SPARK PLUG ACCESS PLUG WORN TABS.",REMOVED & REPLACED BROKEN BAFFLE PLUG.,5.391320217053615
100736,CYL #2 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,1.1436932617252793
100737,#3 & 4 ROCKER GASKETS ARE LEAKING.,REPLACED GASKETS.,3.0852570473125205
100738,A/C WON'T START.,"ATTEMPTED TO START A/C FOR PILOT. BATTERY WAS DEAD, ",6.937874537983406
100739,A/C WON'T START.,"ATTEMPTED TO START A/C FOR PILOT, BATTERY WAS DEAD. ",4.213892568185016
100740,A/C WON'T START.,"ATTEMPTED TO START A/C FOR PILOT, BATTERY WAS DEAD. ",6.558572272999035
100741,A/C WON'T START.,"ATTEMPT TO START A/C FOR PILOT, BATTERY WAS DEAD. LINE",8.571245000449288
100742,INTAKE 3 & 4 LEAKING ON R/H ENGINE.,REPLACED #3 & 4 R/H INTAKE GASKETS.,0.6969804652399725
100743,INTAKES 3 & 4 LEAKING ON L/H ENGINE.,REPLACED L/H ENGINE #3 & 4 INTAKE GASKETS.,0.07928098170299713
100744,R/H SIDE ENGINE BAFFLE HARDWARE MISSING.,INSTALLED NEW HARDWARE ON R/H BAFFLE.,1.6046144125031736
100745,FRONT BAFFLE ON L/H SIDE HAS A CRACK.,STOP DRILLED CRACK.,1.9772353680303667
100746,R/H BACK BAFFLE BRACKET IS MISSING A RIVET & BAFFLE IS CRACK,"FABRICATED PATCH, INSTALLED & RIVETED IAW  SRM 51",4.974588894687497
100747,#4 CYLINDER INTAKE GASKET LEAKING.,REPLACED CYL #4 INTAKE GASKET.,8.005868823239119
100748,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.,6.37327904568158
100749,L/H #4 AFT BAFFLE CRACKED.,STOP DRILLED CRACK.,8.127068396094561
100750,L/H #2 SIDE BAFFLE SEAL TORN.,REMOVED & REPLACED SEAL.,2.3299501130926092
100751,L/H #1 SIDE BAFFLE SEAL LOOSE.,REMOVED & REPLACED SEAL.,8.005793517269419
100752,L/H #3 INTAKE GASKET IS LEAKING.,REPLACED INTAKE GASKET.,3.7509021149507262
100753,L/H ROCKER GASKETS ARE LEAKING.,REPLACED ALL ROCKER GASKETS ON L/H ENGINE.,8.925424587573973
100754,L/H #1 INTAKE I/B PUSH ROD TUBE SEAL IS LEAKING.,REPLACED PUSH ROD SEALS ON #1 INTAKE TUBE.,2.600126149955794
100755,ROCKER BOX COVER SCREW LOOSE ON ALL CYLS.,TIGHTENED ROCKER BOX COVER SCREWS.,9.737630647187535
100756,"#2, 3 & 4 INDUCTION TUBE GASKETS LEAKING.",INSTALLED NEW INDUCTION TUBE GASKETS.,7.237559604467373
100757,INTAKE GASKET CYL #3 & 4 LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,7.714447096159991
100758,#4 INDUCTION TUBE GASKET LEAKING.,REPLACED GASKET.,3.507455239215369
100759,ENGINE BAFFLES NEED NEW BUTTON PLUGS.,REPLACED BUTTON PLUGS.,9.004054095753848
100760,R/H ENG CYL #1 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.,1.0334276728187686
100761,CYL #3 INTAKE IS LEAKING ON L/H ENG.,REMOVED & REPLACED INTAKE GASKET W/ NEW.,4.789093756444514
100762,"CLIMB OUT 1 OR BOTH ENGINES RAN VERY ROUGH, TRIED LEANING &","INSPECTED L/H & R/H ENGINES, NO DEFECTS NOTED. RAN ENGI",3.9230100734662123
100763,INTAKES 2 & 4 LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,6.3826550600014995
100764,FWD ENGINE HOIST LOOP BOLT IS LOOSE.,"REMOVED, CLEANED, SEALED, INSTALLED & TORQUED BOLT W/ N",4.226013516566019
100765,CYL #2 INTAKE GASKET LEAKING.,REPLACED CYL #2 INTAKE GASKET.,5.682913685009691
100766,"CYL #1, 2, 3 & 4 ROCKER COVER GASKETS LEAKING.",REPLACED ROCKER COVER GASKETS.,6.176678648118356
100767,OIL COOLER NEEDS TO BE REPLACED.,REMOVED & REPLACED OIL COOLER,1.1553145374093055
100768,#2 INDUCTION TUBE HOSE CLAMP BROKEN.,REMOVED & REPLACED CLAMP.,7.186300462578675
100769,CYL #2 & 4 ROCKER COVER GASKETS LEAKING.,TIGHTENED ROCKER COVER SCREWS.,6.003754762864774
100770,R/H ENG #3 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,5.3997129171923275
100771,#3 INTAKE I/B TO ENGINE THREAD STRIPPED.,"DRILLED STRIPPED HOLE, TAPPED & INSERTED HELICOIL.",9.259853595648254
100772,L/H ENG #3 INDUCTION TUBE GASKET LEAKING.,"REMOVED & REPLACED GASKET. RAN A/C, LEAK CHECK GOOD.",2.3418553577398504
100773,#2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,3.3880115709003022
100774,#1 CYL INTAKE GASKET IS LEAKING.,REPLACED GASKET.,1.2397376006900551
100775,#3 CYL ROCKER GASKET IS LEAKING.,REPLACED GASKET.,2.599251927454974
100776,R/H BAFFLE SPRING BROKEN.,REMOVED & REPLACED BAFFLE SPRING W/ NEW.,1.4156897754594366
100777,AFT BAFFLE BRACKET RIVETS PULLING THROUGH.,"REMOVED BAFFLE FROM A/C, REMOVED & REPLACED LOOSE RIVET",9.483927622013356
100778,ENGINE TOP SPINE IS LEAKING.,LEAK CHECK GOOD.,7.857189833783263
100779,ENGINE TOP SPINE IS LEAKING.,"REMOVED BOLT, CLEANED, REINSTALLED BOLT & TORQUED TO SP",0.5084640827461895
100780,ALL ROCKER COVERS NEED TIGHTENING.,TIGHTENED ALL COVERS.,2.4316075647946613
100781,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,0.7546622233441813
100782,L/H ENGINE #2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,1.9581406892532238
100783,R/H ENGINE #2 INTAKE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,9.429104078918844
100784,CYL #1 BAFFLE IS CRACKED.,STOP DRILLED CRACK.,2.883128318376351
100785,R/H AFT ENGINE BAFFLE CRACKED.,"REMOVED R/H AFT ENG BAFFLE, STOP DRILLED CRACK, FABRICA",0.7062954167739866
100786,OVERBOARD BATTERY & ENGINE OVERBOARD VENT TUBES CHAFED.,REMOVED DAMAGED PORTION OF TUBES.,6.843457994265229
100787,ALL ROCKER COVER SCREWS LOOSE.,TIGHTENED SCREWS.,0.03572508244428896
100788,L/H ENGINE #3 ROCKER SHAFT PLUG WORN.,REPLACED PLUGS.,2.5047041473458997
100789,R/H ENG #3 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,4.758505059443113
100790,L/H ENG #3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,1.2739152833293454
100791,CYL #2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.,0.15588713147357103
100792,CYL #2 INTAKE VALVE PUSH ROD I/B SEAL IS LEAKING.,LEAK CHECK GOOD.,1.8916610691436564
100793,L/H AFT BAFFLE CRACKED PAST STOP DRILL.,"REMOVED OLD PATCH, STOP DRILLED CRACK. FABRICATED PATCH",2.604604680200623
100794,CYL #2 INTAKE VALVE PUSH ROD I/B SEAL IS LEAKING.,"ROTATED PUSH ROD TUBE TO RESEAT SEAL, TORQUED STUD NUT.",0.10492159472286877
100795,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,7.325601718840283
100796,#4 VALVE COVER GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,5.863140974456789
100797,ALL ROCKER COVERS ON BOTH ENG SCREWS LOOSE.,TIGHTENED ALL SCREWS.,4.562922223621254
100798,#2 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,0.5426743009209745
100799,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,4.822438006326556
100800,"#2, 3 & 4 INDUCTION TUBE GASKETS LEAKING.",INSTALLED NEW INDICATION TUBE GASKETS.,7.423200647270644
100801,CYL #2 & 3 ROCKER COVER GASKETS LEAKING.,REPLACED CYL #2 & 3 ROCKER COVER GASKETS.,9.888907524328822
100802,L/H REAR ENGINE BAFFLE CRACKED.,FABRICATED PATCH OF LIKE MATERIAL & RIVETED IAW ,5.178749256267223
100803,ALL EGT WIRE PROBE STANDOFFS ARE BROKEN.,REMOVED & REPLACED STANDOFFS.,9.120619612791517
100804,CYL #4 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,8.743864093607021
100805,CYL #3 INTAKE GASKET LEAKING.,REPLACED CYL #3 INTAKE GASKET.,7.878762779763351
100806,FRONT ENGINE BAFFLE SCREWS CHAFING MUFFLER SHROUD.,INSTALLED PROPER LENGTH SCREWS.,6.1182212170755035
100807,LOWER OIL COOLER LINE NEEDS TO BE REPOSITIONED.,"LOOSENED LINE, REPOSITIONED LINE & RETIGHTENED. LEAK CH",0.935456428142355
100808,CYL #2 INTAKE GASKET LEAKING.,REPLACED CYL #2 INTAKE GASKET.,8.01311537327681
100809,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER GASKET.,0.6242249665759159
100810,CYL #4 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED COVER GASKET.,5.836238430581436
100811,REAR R/H ENGINE BAFFLE MOUNT BRACKET RIVETS SHEARED.,"DRILLED OUT SHEARED RIVET, INSTALLED NEW, REPAIR DONE I",8.485390905032112
100812,SLIGHT POWER LOSS ON TAKE OFF,"COMPLETED DIFFERENTIAL COMPRESSION TEST (#1-76, #2-75,",5.12304942742521
100813,SLIGHT POWER LOSS ON TAKE OFF,FOR BILLING PURPOSES ONLY,6.24150434198404
100814,#2 INTAKE LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,1.3143598948478097
100815,R/H BAFFLE #3 CYLINDER NEEDS BAFFLE SCREW.,INSTALLED NEW FASTENER ON BAFFLE.,9.481368716973307
100816,#2 CYLINDER INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET. CLEANED EXISTING LEAK,9.957486815335985
100817,#3 & 4 CYLINDER ROCKER COVER GASKETS LEAKING.,"REMOVED & REPLACED ROCKER COVER GASKETS, CLEANED AREA O",5.973495335340514
100818,L/H REAR ENGINE BAFFLE CRACKED.,STOP DRILLED CRACK.,8.217411538670426
100819,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW #2 INDUCTION TUBE GASKET.,4.39198456033418
100820,#2 CYLINDER ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET. CLEARED INITIAL,1.909237658701145
100821,#2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,9.60836931357757
100822,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,1.1883861198839618
100823,TOP & BOTTOM RUDDER COVERS ARE CRACKED.,STOP DRILLED CRACKS & FILLED W/ 2 PART EPOXY.,1.0728007286577257
100824,#4 INDUCTION TUBE GASKET LEAKING.,REMOVED & REPLACED CYL #4 INTAKE TUBE GASKET.,9.200085760288541
100825,"FRONT BAFFLE BY INTAKE HEAT, AROUND MUFFLER SHROUD, IS CRACK",REMOVED MUFFLER TO GAIN ACCESS. BEGAN FABRICATING PATCH,7.5452141294679205
100826,CYL #2 ROCKER COVER IS LEAKING.,REPLACED ROCKER COVER GASKET.,8.475393671850961
100827,FWD BAFFLE CENTER SECTION IS WORN THROUGH.,REMOVED WORN SECTION OF BAFFLE. FABRICATED NEW SECTION,0.5206799369834492
100828,L/H ENGINE #2 INTAKE IS LEAKING.,REMOVED & REPLACED INTAKE GASKET.,8.159963456219524
100829,L/H ENGINE #3 INTAKE GASKET LEAKING.,REMOVED & REPLACED L/H ENG #3 INTAKE GASKET.,6.160536490038428
100830,"L/H ENGINE #2, 3 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,0.7978355882518307
100831,"#3 ROCKER COVER, ROCKER SHAFT PLUGS ARE BROKEN.",REMOVED & REPLACED ROCKER SHAFT PLUGS.,8.301621205431216
100832,CYL #2 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,4.953840384959073
100833,CYL #2 & 4 ROCKER COVERS ARE LEAKING.,REPLACED ROCKER COVER GASKET.,6.388118834282642
100834,#2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,1.8897289856088295
100835,ENGINE IS DIRTY.,WASHED ENGINE.,1.2957211895579401
100836,#1 & 3 INTAKES ARE LEAKING.,REMOVED & REPLACED INTAKE GASKET.,5.51414518957286
100837,R/H BACK BAFFLE IS MISSING A SCREW.,INSTALLED NEW BAFFLE SCREW.,3.60971394974369
100838,R/H FRONT BAFFLE SEAL RIVET IS BROKEN.,REMOVED RIVET & REPLACED W/ A SCREW.,7.365029446458607
100839,CYL #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING.,LEAK CK GOOD.,0.655386997724613
100840,CYL #2 INTAKE PUSH ROD TUBE INNER SEAL IS WEEPING.,ROTATED PUSH ROD TUBE TO RESEAT SEAL.,7.458303681093349
100841,FWD BAFFLE IS CRACKED UNDER HEAT SHROUD AIR INTAKE.,"STOP DRILLED CRACKS, FABRICATED PATCH OUT OF LIKE MATER",2.3036828548005275
100842,R/H SIDE OF BAFFLE IS CRACKED.,STOP DRILLED CRACK.,2.035728057830134
100843,#4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER.,4.936918973092787
100844,R/H ENGINE ROCKER COVER SCREWS LOOSE.,TIGHTENED SCREWS.,0.1370342888394649
100845,R/H ENG CYL #3 INTAKE IS LEAKING.,REMOVED & REPLACED R/H #3 INTAKE GASKET.,9.596494277140792
100846,"#2, 3 ROCKER COVER GASKETS LEAKING.","REMOVED & REPLACED #2, 3 ROCKER COVER GASKETS. REPLACED",3.3658910970161218
100847,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.,8.973020608867165
100848,OIL COOLER HOSE REQUIRES REPOSITIONING.,REPOSITIONED & TIGHTENED OIL HOSE.,8.475487990517234
100849,#1 & 2 ROCKER COVERS MISSING 2 SCREWS.,REPLACED SCREWS.,5.220912999154735
100850,"#2, 3 & 4 ROCKER COVERS LEAK.",REMOVED & REPLACED ROCKER COVER GASKETS.,6.220972946092148
100851,L/H BAFFLE O/B TIE ROD IS BROKEN.,REMOVED & REPLACED L/H BAFFLE TIE ROD.,6.180930184483882
100852,L/H REAR BAFFLE MOUNT IS LOOSE.,"SECURED HARDWARE, BAFFLE CHECKS GOOD FOR SECURITY.",0.6403998746755979
100853,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,TRIED MAKING SEVERAL IDLE MIXTURE ADJUSTMENTS. REPLACED,6.490158263768798
100854,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,REPLACED FUEL PUMP. PROBLEM PERSISTED,8.679965674692179
100855,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,RETIMED BOTH MAGS. BEGAN REPLACEMENT OF FUEL INJECTOR S,9.326758978529403
100856,ENGINE IDLES VERY IRRATICALLY BELOW 1150 RPM.,"STARTED ENGINE IN HANGAR, OPS CHECK GOOD AT & BELOW 100",8.633680358997614
100857,TOP CENTER BAFFEL SCREW IS HITTING MOUNT,INSPECTED & DETERMINED SCRATCH WAS NEGLIGIBLE. BLENDED,0.48061067667802715
100858,R/H ENG #2 & 3 INTAKE GASKETS ARE LEAKING.,INSTALLED NEW GASKETS.,9.777783360660607
100859,#2 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED #2 & 3 ROCKER COVER GASKETS.,8.209592827947848
100860,#3 BAFFLE IS MISSING SCREW ON BRACKET.,INSTALLED NEW SCREW.,0.18463459908249713
100861,"#2, 3 & 4 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,7.767319616897402
100862,#2 INTAKE GASKET LEAKS.,REMOVED & REPLACED INTAKE GASKET.,2.5201831902665806
100863,"#1, 3, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,6.831208438537876
100864,INTAKE TUBE #2 LEAKING.,REMOVED & REPLACED INTAKE GASKET #2.,6.8461384814573485
100865,REAR R/H ENGINE BAFFLE BRACKET RIVETS LOOSE.,"REMOVED BAFFLE, INSTALLED NEW BRACKET HARDWARE. REINSTA",8.72263405649001
100866,#1 INTAKE HAS EVIDENCE OF LEAKING.,REPLACED GASKET.,0.09416023461521927
100867,#4 INTAKE GASKET IS LEAKING.,REPLACED GASKET.,0.8005657118427423
100868,CYL #2 & 4 INTAKES ARE LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,7.052971606454715
100869,#2 INDUCTION TUBE GASKET LEAKING.,INSTALLED NEW INDUCTION TUBE GASKET.,3.4805800330009316
100870,#2 & 1 ROCKER COVERS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS W/ NEW.,1.0404301604392496
100871,R/H BAFFLE SPRING BROKEN.,REMOVED & REPLACED BAFFLE SPRING W/ NEW.,2.5591690235940776
100872,R/H AFT BAFFLE CRACKED.,INSPECTED & FOUND CRACK TO HAVE BEEN PREVIOUSLY REPAIRE,6.419048282618012
100873,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.,STARTED DISASSEMBLY FOR VALVE REAMING.,8.750881171313212
100874,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.,FINISHED DISASSEMBLY & BEGAN REAMING EXHAUST VALVES.,5.998306501292118
100875,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.,FINISHED REAMING ALL 4 EXHAUST VALVE GUIDES. BEGAN REAS,6.902319981003934
100876,FELT VIBRATION LIKE STUCK VALVE IN FLIGHT.,"COMPLETED ASSY OF BAFFLES, CLAMPS, FUEL SUPPLY HOSE, OI",7.052072636272005
100877,#2 INTAKE ON R/H ENGINE LEAKING.,REPLACED GASKET.,3.1355643138990574
100878,#2 & 4 INTAKES LEAKING ON L/H ENGINE.,REMOVED & REPLACED GASKETS.,8.86915691103049
100879,#2 ROCKER COVER LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKET.,5.657775952516867
100880,R/H BAFFLE SPRING BROKEN.,REMOVED & REPLACED BAFFLE SPRING W/ NEW.,7.123427828666884
100881,AFT BAFFLE BRACKET MISSING RIVETS.,INSTALLED NEW RIVETS IN BRACKET IAW  STRUCTURAL R,8.366022050338541
100882,L/H ENG CYL #2 INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,9.272876765078749
100883,R/H ENG #3 CYL INTAKE IS LEAKING.,REPLACED INTAKE GASKET.,7.855397841126848
100884,L/H ENG #4 INTAKE TUBE GASKET LEAKING.,REPLACED INTAKE GASKET.,3.1077302884505587
100885,R/H ENG CYL #1 PRIMER LINE SLEEVE IS TORN.,REPLACED TORN PRIMER LINE SLEEVE.,6.250529835481623
100886,R/H ENGINE #2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,7.260995244373376
100887,L/H ENGINE #2 INTAKE IS LEAKING.,REMOVED & REPLACED #2 INTAKE GASKET.,8.405756649341
100888,R/H ENGINE BAFFLE SEAL UNDER PROP GOVERNOR IS LOOSE.,RESECURED BAFFLE SEAL.,6.732762351922998
100889,L/H ENGINE #2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED L/H ENGINE #2 ROCKER COVER GASKET.,2.756730878910625
100890,"SCREW MISSING, L/H AFT BAFFLING, ON ENG (BEHIND DIPSTICK TUB",INSTALLED SCREW.,0.9797271055760703
100891,#2 EGT READ HIGH 100 - 150 DEGREES ABOVE OTHER CYLS.,REMOVED OBSTRUCTION FROM #2 CYL INJECTOR NOZZLE. REINST,0.17474113457761176
100892,"L/H ENGINE, L/H MAGNETO HAD DROP OF 300 RPM ON RUN UP. LEANE","RAN UP A/C, LEANED MIXTURE TO CLEAR FOULED PLUG. MAG DR",6.469399417239604
100893,"LEAKING INTAKE GASKETS, CYL #2 & 3.",REMOVED & REPLACED INTAKE GASKETS.,3.5728784480142073
100894,#2 & 1 ROCKER COVERS ARE LEAKING.,REOMVED & REPLACED ROCKER GASKETS.,0.15565552534406724
100895,"R/H ENGINE, L/H SIDE FWD COWL SEAL IS LOOSE.",SECURED SEAL.,1.331511891443966
